word	score
가뜬하다	3.8
가련하다	3.17
가소롭다	3.91
가엾다	3.33
가증스럽다	5.08
가책	4.21
갈등하다	4.82
감개	4.24
감개무량하다	4.83
감격하다	5.19
감동하다	4.47
감명	4.01
감미롭다	3.93
감복하다	4.59
감탄하다	5.03
감홍	4.21
감회	3.98
개탄하다	5.18
거부감	4.54
거북하다	4.14
걱정하다	3.94
겁나다	5.56
격노하다	5.89
격동되다	5.92
격분하다	5.82
격앙하다	5.58
격정	5.6
격하다	5.41
겸연쩍다	3.46
경멸하다	5.59
경악하다	6.03
경애하다	4.06
경외하다	3.83
경쾌하다	5.28
꺼림직하다	3.76
께름직하다	3.6
끔찍하다	5.45
낙	4.08
낙담하다	3.23
낙망하다	3.05
낙심하다	3.2
남부끄럽다	4.39
남부럽다	3.89
낭패스럽다	4.62
낯간지럽다	4.55
낯뜨겁다	5.31
노기	4.8
노발대발	6.37
노심초사하다	4.99
노엽다	5.32
노파심	4.4
경탄하다	5.35
고깝다	4.18
고뇌하다	3.72
고독하다	2.47
고립감	3.28
고맙다	3.77
고무되다	4.16
고민하다	3.29
고적하다	2.54
곤혹스럽다	5.28
골나다	5.25
공감하다	3.74
공포	6.02
공허하다	2.55
괘씸하다	5.1
괴롭다	3.85
교감하다	4.41
구슬프다	3.74
굴욕	5.28
권태롭다	2.81
귀찮다	3.63
그립다	3.18
근심걱정	4.37
근심하다	3.98
긍지	3.85
기겁하다	5.67
기고만장하다	5.52
기껍다	3.79
기막히다	4.72
기쁘다	5.56
기절초풍하다	5.76
기죽다	2.94
긴장하다	4.99
꺼리다	4.04
떠름하다	3.61
떨떠름하다	3.02
떫다	4.12
떳떳하다	4.15
뜨끔하다	4.76
뜨악하다	5.46
마땅찮다	4.07
막막하다	3.52
만족하다	3.98
맘놓다	2.28
망설이다	3.81
망연자실하다	3.83
망연하다	3.32
매료되다	4.69
매혹	4.59
맥빠지다	2.17
머쓱하다	3.29
노하다	5.76
놀라다	5.67
놀랍다	5.61
눈물겹다	4.02
뉘우치다	3.57
달가워하다	3.99
담담하다	2.7
답답하다	3.64
당혹하다	4.9
당황하다	4.83
덤덤하다	2.59
도취하다	4.94
동감하다	4.19
동경하다	3.73
동병상련	3.74
동요하다	4.42
동정하다	3.22
두렵다	5.32
들뜨다	5.24
따분하다	2.59
딱하다	3.98
번뇌하다	3.68
번민하다	3.47
보람차다	4.66
부끄럽다	4.68
부럽다	4.37
부아	4.88
분개하다	5.63
분노하다	6.17
분통	5.51
분하다	5.41
불만	4.93
불만족하다	3.99
불쌍하다	3.33
불안하다	4.88
불쾌하다	5.46
불편하다	4.45
불행하다	4.19
비련	3.58
비분강개하다	5.67
비애	4.41
비장하다	5.22
비참하다	4.39
비탄하다	5.03
비통하다	5.1
뼈아프다	5.16
뾰로통하다	3.75
뿌듯하다	4.63
사랑스럽다	4.52
사모하다	4.38
사무치다	4.81
살맛나다	5.16
멋쩍다	3.55
모멸	5.62
무감동하다	2.12
무덤덤하다	2.62
무력감	2.11
무료하다	2.23
무색하다	2.79
무섭다	5.39
무시무시하다	5.16
무안하다	3.69
뭉클하다	4.15
미안하다	4.01
민망하다	4.39
밉다	5.04
박진감	5.41
반감	5.48
반갑다	5.29
반하다	4.63
반항심	5.45
발끈하다	5.54
배신감	5.72
서러워하다	4.05
서럽다	4.32
서먹하다	3.61
서운하다	3.18
선뜩하다	4.69
선호하다	4.38
설레다	5.26
설워하다	4.04
섬뜩하다	5.42
섭섭하다	3.83
성나다	6.1
성내다	5.86
성취감	5.5
소름끼치다	5.85
소외감	3
속상하다	4.48
속시원하다	4.15
속타다	4.92
송구하다	3.66
송연하다	3.07
수심	3.41
수치	4.76
숙연하다	2.94
순정	3.28
스산하다	3.72
슬프다	3.44
시기하다	4.61
시름겹다	3.17
시무룩하다	2.63
시원섭섭하다	3.61
시큰둥하다	3.15
상실감	3.15
상심하다	3.52
상쾌하다	5.16
상큼하다	4.32
샐쭉하다	3.37
샘내다	4.98
서글프다	3.81
실의	3.6
싫다	4.76
싫증나다	3.94
심드렁하다	3.32
심란하다	4.01
심려하다	3.76
심심하다	2.66
심통	4.67
싱숭생숭하다	3.37
쑥스럽다	3.56
쓸쓸하다	2.8
씁쓸하다	3.08
아니꼽다	4.28
아련하다	3.11
아리다	3.72
아쉽다	3.56
아슬아슬하다	5.2
아연실색하다	4.75
아연하다	3.24
아찔하다	5.61
안달복달하다	5.61
안달하다	4.93
안도하다	2.01
안락하다	1.9
안심	2.39
안쓰럽다	3.34
안정되다	2.31
안타깝다	3.52
암담하다	3.33
암울하다	3.31
애	3.99
애끓다	5.33
애달프다	4.02
애닯다	3.88
애도하다	3.32
애련	4.01
애석하다	3.78
애수	3.69
울분	5.74
울적하다	2.63
울화	5.51
울화통	5.93
원망하다	4.63
원통하다	5.22
원한	5.61
식상하다	3.11
신경질	5.51
신나다	5.89
신명나다	5.36
신물나다	3.93
신바람나다	5.7
실망하다	3.3
애잔하다	3.02
애정	4.32
애증	3.94
애지중지하다	4.44
애착	4.54
애처럽다	3.66
애타다	5.07
애통하다	4.83
애틋하다	4.16
애환	3.81
야속하다	4.56
약오르다	5.01
얄밉다	4.99
어이없다	3.82
어처구니없다	4.05
억울하다	4.41
언짢다	4.13
여한	3.63
역겹다	5.13
역정	5.18
연모하다	4.07
연민	3.34
연연하다	3.48
연정	3.63
열광하다	6.66
열등감	4.86
열애	5.73
열정	5.74
염려하다	3.95
영광스럽다	5.2
영예롭다	4.62
온정	3.09
외롭다	2.76
우려하다	3.95
우수	3.38
우습다	4.44
우울하다	2.8
우쭐하다	4.27
정답다	3.97
정욕	5.91
정한	3.79
조마조마하다	5.28
조바심	5.21
좋다	5.13
좌절하다	3.7
위압감	4.98
위축감	3.67
위화감	4.56
유감	4.16
유쾌하다	5.37
음울하다	3.08
의기소침하다	2.79
의기양양하다	5.24
의분	4.39
의심	4.3
의아하다	4.1
의혹	4.51
이뻐하다	4.29
자괴	3.82
자긍	4.48
자기혐오	4.8
자랑스럽다	4.98
자만심	4.75
자부하다	4.02
자신만만하다	5.32
자족하다	3.89
자책하다	4.2
재미있다	4.79
적의	4.88
적적하다	3.35
전전긍긍	4.39
절망하다	3.86
절박감	5.28
절절하다	4.15
정감	3.44
정겹다	4.02
측은하다	3.4
치떨리다	5.62
치욕스럽다	5.85
친애하다	4.04
침울하다	2.85
침통하다	4.41
켕기다	4.49
코웃음	3.92
쾌감	5.91
태평스럽다	2.45
토라지다	4.36
통분	5.51
통쾌하다	5.71
통탄하다	5.36
통한	4.94
패배감	4.2
편안하다	2.33
편하다	2.7
평안하다	2.06
평온하다	2.46
평화롭다	2.24
풀죽다	2.69
한	4.67
한맺히다	5.09
한스럽다	4.13
한탄하다	5.06
행복하다	4.7
향수	2.56
허망하다	2.87
허무하다	2.92
허전하다	2.53
죄송스럽다	3.89
죄스럽다	3.94
죄의식	4.12
죄책감	4.07
주눅들다	2.79
즐겁다	5.54
즐기다	5.14
증오하다	5.85
지겹다	3.2
지긋지긋하다	4.05
지루하다	2.14
지리하다	3.07
진노하다	5.36
진저리나다	4.67
질겁하다	5.41
질리다	3.94
질색하다	5.07
질투하다	5.25
짜증내다	4.88
짝사랑하다	4.41
찡하다	4.67
착잡하다	2.83
참담하다	3.26
창피하다	4.2
처량하다	2.81
처연하다	3.06
처절하다	4.35
처참하다	4.5
체념하다	3.15
초조하다	4.88
충족감	4.15
허탈하다	3.2
허허롭다	3.06
혐오하다	5.57
호감	5.03
혼비백산하다	5.98
홀가분하다	3.26
화나다	5.91
환멸	5.62
환희	5.54
황공하다	4.57
황당하다	4.92
황송하다	4.18
황홀하다	5.14
회개	3.58
회오	4.1
회한	4.41
후련하다	3.61
후회하다	4.06
흐뭇하다	3.85
흠모하다	4.34
흡족하다	4.14
흥겹다	5.5
흥나다	6
흥미롭다	4.76
흥미진진하다	5.21
흥분	6.02
흥취	5.08
희	4.61
희비	4.61
희열	5.44
희희낙락하다	4.8